Gender,Age,Education,Occupation ,1. From when you started using smartphone?, 2. Which of the following social media website do you currently have an account with?,3. How often do you check-in to your social media accounts in any given week?,4. What is your go-to device to access your social media feed?,5. How often do you use the chat app on your social media accounts?,6. On an average how much time do you spend on social media?,7. What is your purpose of using social media website?,8. When do you access social media websites?,9.  Do you check your social media account before going to bed?,10. How does social media affect your physical and mental health?,11. How often do you face health issues?,12. Do you want to share your opinion about social media addiction?
Female,20 to 30,Graduate,Student,10 to 20 AgeGroup,"WhatsApp, LinkedIn, Zoom/Google Meet etc.",Daily,"Mobile, Laptop",Very often,Less than 30 mins,"To make friends, To socialize casually, Online Gaming, Studying",During my free time,Yes,"Headache, Depression, Eye Related Issues, Mood swings",Twice a week,Yes
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix, Prime, Disney+hotstar",Every hour,"Mobile, Laptop",Extremely often,3-4 hours,"To socialize casually, To find employment, Online Gaming, Studying","During my free time, During meal times",Yes,"Back Pain, Headache, Anxiety, Eye Related Issues, Mood swings",Once a week,Yes
Female,20 to 30,U.G,Student,20 to 30 AgeGroup,"WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc.",Daily,"Mobile, Laptop, Desktop",Extremely often,An hour,"To make friends, To promote products/services","During my free time, While at school/university/work",Yes,Headache,,Yes
Female,20 to 30,Graduate,Employee,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every 3-4 hours,1-2 hours,"To make friends, To promote products/services, Studying","During my free time, During social occasions",No,Mood swings,Once a month,No
Female,20 to 30,Graduate,Student,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc.",Every hour,"Mobile, Tablet, Laptop, Desktop",Every hour,Less than 30 mins,"To make friends, To socialize casually, To find employment, Online Gaming, Studying","During my free time, While at school/university/work",Yes,"Back Pain, Headache, Depression, Anxiety, Eye Related Issues, Mood swings",Once a week,Yes
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Every hour,"Mobile, Laptop",Every hour,More than 4 hours,"To socialize casually, Online Gaming, Studying","During my free time, During meal times",Yes,"Back Pain, Headache, Anxiety, Eye Related Issues, Mood swings",Twice a week,Yes
Female,30 to 50,P.G,Employee,20 to 30 AgeGroup,"Facebook, WhatsApp",Daily,Mobile,Every day,Less than 30 mins,To find employment,During my free time,No,"Anxiety, Eye Related Issues",Once a month,No
Male,20 to 30,U.G,Student,10 to 20 AgeGroup,"Twitter, WhatsApp, Instagram, Telegram, Snapchat, Tumblr",Daily,"Mobile, Laptop",Every hour,More than 4 hours,"To make friends, To socialize casually, To find a suitable date, To promote products/services, To find employment, Online Gaming, Studying","During my free time, During meal times",Yes,"Back Pain, Eye Related Issues",Thrice a month,
Male,20 to 30,Graduate,Student,10 to 20 AgeGroup,"WhatsApp, Instagram",Daily,Mobile,Every 5-15 minutes,More than 4 hours,To socialize casually,During my free time,Yes,"Headache, Depression, Eye Related Issues, Mood swings",Twice a week,
Male,20 to 30,Graduate,Entrepreneur,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Every hour,"Mobile, Laptop",Every 5-15 minutes,More than 4 hours,Online Gaming,"During my free time, While at school/university/work, During social occasions, During meal times",Yes,"Eye Related Issues, Mood swings",Once a month,
Male,20 to 30,Graduate,Student,10 to 20 AgeGroup,"WhatsApp, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every day,Less than 30 mins,"To make friends, To socialize casually, To find employment, Studying","During my free time, While at school/university/work, During social occasions, During meal times",Yes,"Back Pain, Headache, Depression, Anxiety, Eye Related Issues, Mood swings",Once a week,"Hate it
"
Male,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every day,3-4 hours,"To make friends, To socialize casually, News","During my free time, During social occasions",Yes,"Headache, Depression, Anxiety, Mood swings",Once a month,
Male,20 to 30,Graduate,Student,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, Zoom/Google Meet etc., Telegram, Netflix",Daily,Mobile,Every day,An hour,"To socialize casually, To find a suitable date, Online Gaming",During my free time,Yes,Mood swings,Once a month,
Male,20 to 30,P.G,Entrepreneur,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Daily,Mobile,Every 3-4 hours,3-4 hours,To socialize casually,"During my free time, During meal times",Yes,"Back Pain, Eye Related Issues",Thrice a month,
Male,16 to 20,U.G,Student,10 to 20 AgeGroup,"WhatsApp, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Daily,"Mobile, Laptop",Every 3-4 hours,1-2 hours,"To make friends, To socialize casually, Online Gaming, Studying","During my free time, While at school/university/work",No,"Back Pain, Anxiety, Eye Related Issues",Thrice a month,
Female,20 to 30,Graduate,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every day,1-2 hours,"To socialize casually, Studying",During my free time,No,Eye Related Issues,Once a month,
Male,16 to 20,Graduate,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, Netflix",Daily,Mobile,Every 5-15 minutes,3-4 hours,"To make friends, To promote products/services, Online Gaming, Studying",During my free time,Yes,Mood swings,Once a month,??
Male,20 to 30,P.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Telegram",Every hour,Mobile,Every 5-15 minutes,More than 4 hours,"To socialize casually, To find employment, Entertainment","During my free time, During meal times",Yes,"Back Pain, Headache, Anxiety, Eye Related Issues, Mood swings",Twice a week,
Female,20 to 30,P.G,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every 3-4 hours,More than 4 hours,"To find employment, Studying",During my free time,Yes,Eye Related Issues,Once a month,"I think, this is not addiction, it's one of the source of getting more and more knowledge"
Female,20 to 30,P.G,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Every hour,Mobile,Every day,1-2 hours,"To make friends, To socialize casually",During my free time,Yes,"Headache, Eye Related Issues",Once a month,
Male,20 to 30,Graduate,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every day,1-2 hours,To socialize casually,"During my free time, During meal times",Yes,"Back Pain, Mood swings",Twice a week,
Female,20 to 30,Graduate,Housewife,20 to 30 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Telegram, Netflix",Daily,Mobile,Every day,An hour,To socialize casually,During my free time,Yes,Headache,Once a month,Nothing is bad.. Until we make it bad.. 
Female,16 to 20,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Once a week,"Mobile, Laptop",Every day,Less than 30 mins,"To make friends, To socialize casually, Studying",During my free time,No,Mood swings,Once a month,"Limited use of social media is a good thing. It is helpfull, informative.  "
Female,20 to 30,P.G,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every day,An hour,"To make friends, Studying",During my free time,Yes,Eye Related Issues,Once a month,Social media is thing which having Advantages and disadvantages also . Focused on Advantages it is good for knowledge and studying new things. 
Male,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every 3-4 hours,An hour,"To socialize casually, To find employment, Online Gaming, Studying",During my free time,Yes,"Back Pain, Eye Related Issues",Once a month,Social media has made humans as products for themselves which is not at all good but we are so addicted to it now a days that staying away from it is quite hard sometimes 
Female,20 to 30,P.G,Student,20 to 30 AgeGroup,"WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Snapchat, intershala, naukri. Com",Daily,"Mobile, Laptop",Every hour,More than 4 hours,"To make friends, Studying, Chatting, searching",During my free time,Yes,"Back Pain, Eye Related Issues",Once a week,Yes addicted Somelittel
Male,20 to 30,Graduate,Employee,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Daily,Mobile,Every hour,3-4 hours,"To socialize casually, To promote products/services, Event planning, To find employment",During my free time,Yes,Headache,Once a month,
Female,20 to 30,P.G,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Every hour,"Mobile, Laptop",Every 5-15 minutes,More than 4 hours,"To socialize casually, To find employment, Studying","During my free time, While at school/university/work",Yes,"Back Pain, Headache, Depression, Eye Related Issues, Mood swings",Everyday,
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,WhatsApp,Daily,Mobile,Every 3-4 hours,3-4 hours,Studying,During my free time,Yes,"Back Pain, Headache, Eye Related Issues",Once a week,
Male,20 to 30,U.G,Student,20 to 30 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Every other day,"Mobile, Desktop",Every 3-4 hours,An hour,"To promote products/services, To find employment, Online Gaming, Studying",During my free time,No,Anxiety,Once a month,
Female,20 to 30,Graduate,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every 3-4 hours,Less than 30 mins,Studying,During my free time,No,Mood swings,Once a month,
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every 3-4 hours,An hour,Studying,"During my free time, During meal times",Yes,"Back Pain, Headache",Once a month,Not so good habit
Female,20 to 30,P.G,Student,20 to 30 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every day,3-4 hours,"To make friends, To find employment, Online Gaming, Studying",During my free time,Yes,"Headache, Mood swings",Once a month,"Social media addiction is a behavioral addiction that is defined by being overly concerned about social media, driven by an uncontrollable urge to log on to or use social media"
Male,20 to 30,Graduate,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Telegram",Daily,Mobile,Every 3-4 hours,1-2 hours,"To make friends, To socialize casually","During my free time, During meal times",Yes,"Anxiety, Eye Related Issues, Mood swings",Once a month,
Female,20 to 30,Graduate,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Snap chat",Daily,"Mobile, Laptop",Every 3-4 hours,More than 4 hours,"To make friends, To socialize casually, Studying","During my free time, While at school/university/work, During social occasions",Yes,Back Pain,Once a week,Social media is not good for our physical health. It has some good uses for us but it is difficult for a person to get out of it.But we should try to reduce its use.
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every 5-15 minutes,1-2 hours,"To make friends, To socialize casually, Studying","During my free time, While at school/university/work, During social occasions",Yes,"Headache, Eye Related Issues",Once a month,It's addictive !!! 
Female,20 to 30,P.G,Housewife,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Every other day,Mobile,Every day,An hour,To socialize casually,During my free time,No,Headache,Once a month,Yes definately It is increasing day by day. But somehow I found some people really using this platform to enhancè there career. Yes It has pros and cons
Female,20 to 30,Graduate,Student,10 to 20 AgeGroup,"Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every hour,3-4 hours,"To socialize casually, To find employment, Online Gaming, Studying","During my free time, During social occasions, During meal times",No,"Back Pain, Headache, Mood swings",Everyday,social media is meant to be mentally fun but it is actually affecting more 
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every 3-4 hours,3-4 hours,"To socialize casually, Studying","During my free time, While at school/university/work",Yes,"Back Pain, Headache, Anxiety, Mood swings",Once a month,Social media is ruining so many things like innocence in 10-15 old kids.
Male,16 to 20,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every hour,1-2 hours,"To make friends, Studying",During my free time,Yes,Headache,Once a month,??
Female,20 to 30,Civil diploma,Student,20 to 30 AgeGroup,"Instagram, Zoom/Google Meet etc., Telegram",Every other day,Mobile,Not at all,Less than 30 mins,To make friends,While at school/university/work,Yes,Mood swings,Once a month,Nice 
Female,20 to 30,Graduate,Student,20 to 30 AgeGroup,"WhatsApp, Instagram, Zoom/Google Meet etc., Telegram, Netflix",Daily,Mobile,Every day,An hour,To socialize casually,During my free time,Yes,Mood swings,Once a month,Can be controlled if social media is used properly you can benifit out it
Male,20 to 30,Graduate,,20 to 30 AgeGroup,WhatsApp,Daily,Mobile,Every 3-4 hours,An hour,To make friends,During my free time,Yes,Back Pain,Everyday,Yes 
Male,20 to 30,Graduate,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every 5-15 minutes,More than 4 hours,"To socialize casually, Online Gaming, Studying","During my free time, While at school/university/work, During social occasions, During meal times",Yes,"Headache, Depression, Eye Related Issues, Mood swings",Everyday,It affects based on use
Female,20 to 30,Graduate,Employee,10 to 20 AgeGroup,Telegram,Every two days,Mobile,Every day,Less than 30 mins,Studying,,Yes,Headache,Once a month,It's good if you put a limit on your use
Female,20 to 30,Graduate,Student,10 to 20 AgeGroup,"WhatsApp, LinkedIn, Zoom/Google Meet etc.",Daily,Mobile,Every 3-4 hours,Less than 30 mins,"To make friends, To socialize casually, Studying",During my free time,Yes,"Headache, Anxiety, Eye Related Issues, Mood swings",Once a month,It's addictive
Male,20 to 30,U.G,Student,4 to 10 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Every hour,Mobile,Every hour,More than 4 hours,"To make friends, To socialize casually, Online Gaming, Studying",During my free time,Yes,"Headache, Eye Related Issues, Mood swings",Everyday,Bad 
Female,16 to 20,Graduate,Student,10 to 20 AgeGroup,"WhatsApp, Instagram, Zoom/Google Meet etc.",Daily,Mobile,Every 5-15 minutes,Less than 30 mins,To make friends,During social occasions,No,Eye Related Issues,Twice a week,Yes
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Every two days,"Mobile, Laptop",Every day,1-2 hours,"To find employment, Studying","During my free time, While at school/university/work",No,Eye Related Issues,Once a month,We should use social media for being productive and not let social media to use us. 
Female,20 to 30,Graduate,Entrepreneur,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram",Daily,Mobile,Every day,1-2 hours,Timepass,During my free time,Yes,Eye Related Issues,Once a month,Just timepass nothing else
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"WhatsApp, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every day,Less than 30 mins,Studying,During my free time,No,Eye Related Issues,Twice a week,Good
Male,16 to 20,Graduate,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every 3-4 hours,3-4 hours,"To make friends, To socialize casually, Online Gaming, Studying",During my free time,Yes,Mood swings,Twice a week,Nope
Male,20 to 30,Graduate,Businessman ,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, Zoom/Google Meet etc., Netflix",Daily,Mobile,Every 3-4 hours,An hour,To socialize casually,During my free time,Yes,Anxiety,Once a month,It has more cons  than pros
Female,20 to 30,U.G,Student,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, Zoom/Google Meet etc., Telegram",Every other day,"Mobile, Tablet, Laptop",Every hour,1-2 hours,"To make friends, To socialize casually, Studying","During my free time, During social occasions, During meal times",Yes,"Eye Related Issues, Mood swings",Once a week,I am not addicted with social media 
Male,16 to 20,Graduate,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram",Every hour,Mobile,Every hour,More than 4 hours,"To make friends, To socialize casually","During my free time, While at school/university/work, During social occasions, During meal times",Yes,"Back Pain, Headache, Depression, Anxiety, Eye Related Issues, Mood swings",Once a month, 
Male,20 to 30,Graduate,Employee,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix, Hago, ola party, Amazon prime, Sony live, etc",Daily,"Mobile, Laptop, Desktop",Every 5-15 minutes,More than 4 hours,"To make friends, Online Gaming, ***************",During my free time,Yes,Mood swings,Once a month,****** ***** **** *** ** * no comments * ** *** **** ***** ******
Female,20 to 30,Graduate,Student,20 to 30 AgeGroup,"WhatsApp, Instagram, Zoom/Google Meet etc.",Daily,Mobile,Every hour,Less than 30 mins,"To make friends, Studying","During my free time, While at school/university/work, During social occasions, During meal times",Yes,"Headache, Depression, Eye Related Issues",Everyday,Is really bad habit
Female,30 to 50,P.G,Entrepreneur,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every 5-15 minutes,3-4 hours,"To make friends, To socialize casually, To promote products/services, Event planning, Online Gaming","During my free time, During social occasions, During meal times",Yes,"Eye Related Issues, Mood swings",Thrice a month,"Social media is a necessary evil when u use it to promote a business, like i do. Acquaintances also demand ur time on social media and u r bullied into following ""acceptable behavior"" of quick responses etc. "
Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"WhatsApp, Instagram",Daily,Mobile,Every day,1-2 hours,"To socialize casually, Studying",While at school/university/work,Yes,Mood swings,Once a month,If u make a use of social media for good purposes then it is ok but if u r wasting ur time on social media then it is definitely harmful for ur physical as well as mental health...brain heart related problems behavior issues will be definitely joined u for life time
Male,20 to 30,Graduate,Entrepreneur,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, Netflix",Every hour,Mobile,Every hour,More than 4 hours,"To make friends, Online Gaming","During my free time, During meal times",Yes,"Back Pain, Depression",Thrice a month,Nothing 
Female,20 to 30,Graduate,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every day,An hour,"To make friends, To socialize casually, To find a suitable date, Studying",During my free time,Yes,"Anxiety, Eye Related Issues",Once a month,Social media is helpful but excessive use is not good.
Female,16 to 20,Student,Student,10 to 20 AgeGroup,WhatsApp,Daily,Mobile,Not at all,More than 4 hours,Studying,During my free time,Yes,Back Pain,Everyday,No
Male,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,Mobile,Every day,An hour,"To make friends, To socialize casually, To find a suitable date, To find employment",During my free time,Yes,"Headache, Mood swings",Once a month,It is addiction as well as need. Every coin has two sides. It depends on individual.
Male,20 to 30,P.G,Employee,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Telegram, Netflix",Every other day,Mobile,Every day,3-4 hours,"To socialize casually, To find employment","During my free time, During meal times",No,Eye Related Issues,Once a month,Really bad
Female,20 to 30,P.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, LinkedIn, Zoom/Google Meet etc., Telegram",Every hour,"Mobile, Laptop",Every hour,More than 4 hours,"To socialize casually, To find employment, Online Gaming","During my free time, While at school/university/work, During social occasions, During meal times",Yes,"Back Pain, Headache, Depression, Anxiety, Eye Related Issues, Mood swings",Everyday,Addiction is increasing day by day
Male,20 to 30,P.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Daily,"Mobile, Laptop",Every 3-4 hours,1-2 hours,"To make friends, To socialize casually, To find employment, Studying",During my free time,Yes,"Back Pain, Headache, Depression, Anxiety, Eye Related Issues, Mood swings",Once a month,I know i am addicted. I am trying to restrict it. I use focus mode or digital wellbeing to block apps while doing important works. 
,20 to 30,P.G,Employee,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Netflix",Daily,"Mobile, Laptop",Every hour,1-2 hours,"To find employment, Online Gaming, Studying",During my free time,Yes,Mood swings,Once a month,Its good until u make use of it else it's useless
Male,20 to 30,Graduate,Service,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, Telegram",Every hour,Mobile,Every 5-15 minutes,More than 4 hours,"To make friends, To socialize casually","During my free time, During meal times",Yes,"Depression, Anxiety, Mood swings",Once a month,Hell
Male,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Every hour,"Mobile, Laptop",Every hour,1-2 hours,"To make friends, To socialize casually","During my free time, During social occasions, During meal times",Yes,Eye Related Issues,Once a month,I spend 3-4 hours a day in lockdown. Now when i am going to office for work i use only 1 hour max
